sample size and proportion,classifier,metric,val
500_5050,svc_tfidf,ci_lower,0.560664944
500_5050,svc_tfidf,ci_upper,0.769820972
500_5050,svc_tfidf,std,0.054082812
500_5050,lsvc_tfidf,f1_mean,0.645219448
500_5050,lsvc_tfidf,ci_lower,0.536606734
500_5050,lsvc_tfidf,ci_upper,0.761764216
500_5050,lsvc_tfidf,std,0.055788183
500_5050,sgd_tfidf,f1_mean,0.640220591
500_5050,sgd_tfidf,ci_lower,0.524375
500_5050,sgd_tfidf,ci_upper,0.746881616
500_5050,sgd_tfidf,std,0.056402889
500_5050,knn_tfidf,f1_mean,0.62354332
500_5050,knn_tfidf,ci_lower,0.511914248
500_5050,knn_tfidf,ci_upper,0.725788194
500_5050,knn_tfidf,std,0.053575276
600_1090,lr_tfidf,f1_mean,0.798106885
600_1090,lr_tfidf,ci_lower,0.699612403
600_1090,lr_tfidf,ci_upper,0.892004505
600_1090,lr_tfidf,std,0.049461426
600_1090,nb_tfidf,f1_mean,0.803375937
600_1090,nb_tfidf,ci_lower,0.713993256
600_1090,nb_tfidf,ci_upper,0.900012624
600_1090,nb_tfidf,std,0.049053835
600_1090,rf_tfidf,f1_mean,0.802538388
600_1090,rf_tfidf,ci_lower,0.699612403
600_1090,rf_tfidf,ci_upper,0.892004505
600_1090,rf_tfidf,std,0.050513096
600_1090,dt_tfidf,f1_mean,0.776624393
600_1090,dt_tfidf,ci_lower,0.682634173
600_1090,dt_tfidf,ci_upper,0.867755552
600_1090,dt_tfidf,std,0.047458615
600_1090,svc_tfidf,f1_mean,0.802900298
600_1090,svc_tfidf,ci_lower,0.699612403
600_1090,svc_tfidf,ci_upper,0.892004505
600_1090,svc_tfidf,std,0.050882393
600_1090,lsvc_tfidf,f1_mean,0.799648619
600_1090,lsvc_tfidf,ci_lower,0.685307018
600_1090,lsvc_tfidf,ci_upper,0.892004505
600_1090,lsvc_tfidf,std,0.053162337
600_1090,sgd_tfidf,f1_mean,0.802858775
600_1090,sgd_tfidf,ci_lower,0.713993256
600_1090,sgd_tfidf,ci_upper,0.892004505
600_1090,sgd_tfidf,std,0.048157248
600_1090,knn_tfidf,f1_mean,0.823788636
600_1090,knn_tfidf,ci_lower,0.718530322
600_1090,knn_tfidf,ci_upper,0.912134691
600_1090,knn_tfidf,std,0.047166888
600_2080,lr_tfidf,f1_mean,0.810420426
600_2080,lr_tfidf,ci_lower,0.717581906
600_2080,lr_tfidf,ci_upper,0.895261471
600_2080,lr_tfidf,std,0.047481782
600_2080,nb_tfidf,f1_mean,0.687914762
600_2080,nb_tfidf,ci_lower,0.573747444
600_2080,nb_tfidf,ci_upper,0.801792365
600_2080,nb_tfidf,std,0.056560441
600_2080,rf_tfidf,f1_mean,0.686093429
600_2080,rf_tfidf,ci_lower,0.573747444
600_2080,rf_tfidf,ci_upper,0.786985019
600_2080,rf_tfidf,std,0.055600508
600_2080,dt_tfidf,f1_mean,0.748036632
600_2080,dt_tfidf,ci_lower,0.652628214
600_2080,dt_tfidf,ci_upper,0.840625101
600_2080,dt_tfidf,std,0.047215128
600_2080,svc_tfidf,f1_mean,0.810376502
600_2080,svc_tfidf,ci_lower,0.694253859
600_2080,svc_tfidf,ci_upper,0.903475936
600_2080,svc_tfidf,std,0.050238392
600_2080,lsvc_tfidf,f1_mean,0.815612111
600_2080,lsvc_tfidf,ci_lower,0.71821114
600_2080,lsvc_tfidf,ci_upper,0.897694992
600_2080,lsvc_tfidf,std,0.044309014
600_2080,sgd_tfidf,f1_mean,0.842616112
600_2080,sgd_tfidf,ci_lower,0.743577811
600_2080,sgd_tfidf,ci_upper,0.920615276
600_2080,sgd_tfidf,std,0.044017531
600_2080,knn_tfidf,f1_mean,0.815879511
600_2080,knn_tfidf,ci_lower,0.727478156
600_2080,knn_tfidf,ci_upper,0.900010212
600_2080,knn_tfidf,std,0.0451915
600_3070,lr_tfidf,f1_mean,0.76069114
600_3070,lr_tfidf,ci_lower,0.649197197
600_3070,lr_tfidf,ci_upper,0.860429128
600_3070,lr_tfidf,std,0.052849835
600_3070,nb_tfidf,f1_mean,0.720152635
600_3070,nb_tfidf,ci_lower,0.613322667
600_3070,nb_tfidf,ci_upper,0.827155274
600_3070,nb_tfidf,std,0.054795643
600_3070,rf_tfidf,f1_mean,0.621369599
600_3070,rf_tfidf,ci_lower,0.498537098
600_3070,rf_tfidf,ci_upper,0.752232143
600_3070,rf_tfidf,std,0.062377336
600_3070,dt_tfidf,f1_mean,0.771860831
600_3070,dt_tfidf,ci_lower,0.671881987
600_3070,dt_tfidf,ci_upper,0.860431008
600_3070,dt_tfidf,std,0.046242223
600_3070,svc_tfidf,f1_mean,0.76457894
600_3070,svc_tfidf,ci_lower,0.672763331
600_3070,svc_tfidf,ci_upper,0.860685022
600_3070,svc_tfidf,std,0.051396158
600_3070,lsvc_tfidf,f1_mean,0.756186146
600_3070,lsvc_tfidf,ci_lower,0.644699943
600_3070,lsvc_tfidf,ci_upper,0.85625
